iter	Passed	Remaining
0	170	170666
1	174	86840
2	177	59058
3	180	44932
4	183	36560
5	186	30955
6	189	26838
7	192	23818
8	194	21387
9	196	19470
10	198	17879
11	200	16538
12	202	15384
13	203	14362
14	204	13451
15	205	12654
16	206	11945
17	207	11308
18	208	10753
19	209	10260
20	210	9801
21	211	9400
22	212	9031
23	213	8681
24	215	8385
25	216	8095
26	217	7824
27	217	7561
28	218	7322
29	219	7098
30	220	6899
31	221	6706
32	222	6521
33	223	6349
34	224	6185
35	225	6032
36	226	5891
37	227	5765
38	228	5635
39	229	5509
40	230	5386
41	230	5266
42	231	5152
43	232	5053
44	233	4963
45	234	4865
46	235	4773
47	236	4686
48	237	4600
49	238	4526
50	239	4454
51	240	4376
52	240	4305
53	241	4235
54	242	4167
55	243	4101
56	244	4040
57	245	3983
58	246	3924
59	246	3866
60	247	3808
61	248	3752
62	248	3697
63	249	3645
64	249	3594
65	250	3550
66	251	3504
67	252	3457
68	252	3411
69	253	3367
70	254	3324
71	254	3282
72	255	3242
73	255	3202
74	256	3167
75	257	3132
76	258	3096
77	258	3060
78	259	3025
79	260	2992
80	260	2958
81	261	2926
82	261	2891
83	262	2860
84	263	2832
85	263	2805
86	264	2776
87	265	2748
88	265	2720
89	266	2693
90	266	2666
91	267	2639
92	268	2614
93	268	2590
94	269	2569
95	270	2548
96	271	2524
97	271	2501
98	272	2478
99	272	2456
100	273	2434
101	274	2412
102	274	2391
103	275	2373
104	276	2357
105	277	2337
106	277	2318
107	278	2299
108	279	2281
109	279	2262
110	280	2244
111	280	2226
112	281	2210
113	282	2196
114	283	2182
115	284	2167
116	285	2150
117	285	2135
118	286	2121
119	287	2106
120	288	2095
121	289	2082
122	290	2068
123	290	2054
124	291	2041
125	292	2029
126	293	2014
127	293	2000
128	294	1989
129	295	1976
130	295	1963
131	296	1950
132	297	1937
133	297	1924
134	298	1911
135	299	1902
136	300	1894
137	301	1884
138	302	1874
139	303	1864
140	304	1854
141	304	1842
142	305	1832
143	306	1824
144	308	1817
145	309	1807
146	309	1797
147	310	1788
148	311	1778
149	312	1768
150	312	1759
151	314	1751
152	314	1742
153	315	1732
154	316	1723
155	316	1713
156	317	1704
157	318	1695
158	319	1689
159	320	1681
160	320	1671
161	321	1662
162	321	1652
163	322	1643
164	323	1635
165	323	1626
166	324	1618
167	325	1611
168	326	1604
169	327	1596
170	327	1588
171	328	1580
172	328	1572
173	329	1563
174	330	1555
175	330	1548
176	332	1543
177	332	1536
178	333	1529
179	333	1521
180	334	1513
181	335	1506
182	335	1498
183	336	1491
184	336	1483
185	337	1477
186	338	1471
187	339	1464
188	339	1457
189	340	1451
190	341	1444
191	341	1437
192	342	1431
193	342	1424
194	343	1419
195	344	1413
196	345	1406
197	345	1400
198	346	1394
199	347	1388
200	347	1381
201	348	1375
202	348	1369
203	349	1363
204	350	1358
205	351	1353
206	351	1347
207	352	1341
208	352	1335
209	353	1329
210	354	1324
211	354	1318
212	355	1312
213	356	1307
214	357	1303
215	357	1298
216	358	1293
217	359	1288
218	359	1283
219	360	1278
220	361	1272
221	361	1267
222	362	1263
223	363	1259
224	364	1255
225	365	1250
226	365	1245
227	366	1240
228	367	1236
229	367	1231
230	368	1228
231	370	1224
232	370	1220
233	371	1217
234	372	1213
235	373	1208
236	374	1204
237	375	1200
238	376	1197
239	377	1193
240	377	1189
241	378	1185
242	379	1181
243	379	1176
244	380	1172
245	381	1168
246	382	1164
247	383	1161
248	384	1158
249	384	1154
250	385	1150
251	386	1146
252	386	1142
253	387	1139
254	388	1136
255	389	1132
256	390	1129
257	391	1126
258	392	1122
259	392	1118
260	393	1115
261	394	1112
262	395	1109
263	396	1106
264	397	1102
265	398	1098
266	398	1094
267	399	1090
268	400	1087
269	401	1085
270	401	1081
271	402	1077
272	403	1073
273	403	1069
274	404	1065
275	404	1062
276	405	1059
277	406	1056
278	407	1053
279	408	1049
280	408	1045
281	409	1042
282	410	1039
283	410	1035
284	411	1032
285	412	1029
286	413	1027
287	414	1023
288	414	1020
289	415	1016
290	415	1013
291	416	1009
292	417	1006
293	417	1003
294	418	1000
295	419	998
296	420	995
297	421	992
298	421	989
299	422	986
300	423	982
301	424	980
302	424	977
303	425	974
304	426	971
305	427	969
306	428	966
307	428	963
308	429	960
309	430	958
310	431	955
311	432	953
312	433	950
313	433	947
314	434	945
315	435	943
316	436	941
317	438	939
318	438	936
319	439	934
320	440	931
321	440	928
322	441	925
323	442	923
324	443	920
325	444	919
326	445	916
327	446	914
328	446	911
329	447	908
330	448	905
331	448	902
332	449	900
333	450	898
334	451	896
335	452	893
336	452	890
337	453	887
338	453	884
339	454	882
340	455	879
341	456	877
342	456	875
343	457	872
344	458	870
345	458	867
346	459	864
347	459	861
348	460	859
349	461	856
350	462	854
351	463	852
352	463	849
353	464	847
354	464	844
355	465	842
356	466	839
357	466	836
358	467	834
359	468	832
360	469	830
361	470	828
362	470	826
363	471	824
364	472	821
365	473	819
366	474	818
367	475	816
368	475	813
369	476	811
370	477	809
371	477	806
372	478	804
373	479	802
374	480	800
375	481	798
376	482	796
377	482	794
378	483	792
379	484	790
380	484	787
381	485	785
382	486	783
383	487	781
384	488	779
385	488	777
386	489	775
387	490	773
388	491	771
389	491	769
390	492	767
391	493	765
392	494	763
393	495	761
394	496	759
395	496	757
396	497	755
397	498	753
398	499	752
399	500	750
400	501	748
401	501	746
402	502	744
403	503	742
404	504	740
405	505	739
406	506	737
407	507	735
408	508	734
409	508	732
410	509	729
411	510	728
412	510	726
413	512	724
414	512	722
415	513	721
416	514	719
417	515	717
418	515	715
419	516	713
420	517	711
421	518	710
422	519	708
423	520	706
424	521	704
425	521	702
426	522	700
427	523	698
428	523	697
429	524	695
430	525	693
431	526	691
432	526	689
433	527	687
434	527	685
435	528	683
436	528	681
437	529	679
438	530	678
439	531	676
440	532	674
441	532	672
442	533	670
443	533	668
444	534	666
445	535	664
446	535	662
447	536	661
448	537	659
449	538	657
450	538	655
451	539	654
452	540	652
453	540	650
454	541	648
455	542	646
456	542	645
457	543	643
458	544	641
459	545	639
460	545	637
461	546	636
462	546	634
463	547	632
464	548	630
465	549	629
466	550	627
467	550	626
468	551	624
469	552	622
470	552	620
471	553	618
472	553	617
473	554	615
474	555	614
475	556	612
476	557	610
477	557	608
478	558	607
479	558	605
480	559	603
481	560	601
482	560	600
483	562	599
484	562	597
485	563	595
486	564	594
487	564	592
488	565	590
489	565	589
490	566	587
491	567	585
492	568	584
493	569	583
494	570	581
495	570	579
496	571	578
497	572	576
498	572	575
499	573	573
500	574	572
501	575	571
502	576	569
503	577	568
504	578	566
505	578	565
506	580	564
507	581	562
508	582	561
509	582	559
510	583	558
511	584	556
512	585	555
513	585	553
514	587	552
515	587	551
516	588	549
517	589	548
518	590	546
519	590	545
520	591	543
521	592	542
522	593	541
523	594	540
524	595	538
525	596	537
526	596	535
527	597	534
528	599	533
529	600	532
530	600	530
531	601	529
532	602	527
533	603	526
534	604	524
535	604	523
536	605	522
537	606	520
538	607	519
539	607	517
540	608	516
541	609	515
542	610	513
543	611	512
544	612	511
545	613	510
546	614	508
547	614	507
548	615	505
549	616	504
550	617	503
551	618	501
552	618	500
553	619	498
554	620	497
555	620	495
556	621	494
557	621	492
558	622	491
559	623	490
560	624	488
561	624	487
562	625	485
563	626	484
564	626	482
565	627	481
566	628	479
567	628	478
568	630	477
569	630	475
570	631	474
571	631	472
572	632	471
573	633	469
574	633	468
575	634	467
576	635	465
577	636	464
578	636	463
579	637	461
580	638	460
581	638	458
582	639	457
583	639	455
584	640	454
585	641	453
586	642	452
587	643	450
588	643	449
589	644	447
590	644	446
591	645	444
592	646	443
593	646	442
594	647	441
595	648	439
596	649	438
597	650	436
598	650	435
599	651	434
600	651	432
601	652	431
602	653	429
603	653	428
604	654	427
605	655	426
606	655	424
607	656	423
608	657	421
609	657	420
610	658	419
611	658	417
612	659	416
613	660	415
614	661	414
615	662	412
616	662	411
617	663	410
618	664	408
619	664	407
620	665	406
621	666	405
622	667	403
623	667	402
624	668	401
625	669	399
626	669	398
627	670	397
628	670	395
629	671	394
630	672	393
631	673	391
632	674	390
633	674	389
634	675	388
635	675	386
636	676	385
637	677	384
638	677	382
639	678	381
640	679	380
641	680	379
642	680	377
643	681	376
644	681	375
645	682	373
646	683	372
647	683	371
648	684	370
649	685	369
650	686	367
651	687	366
652	687	365
653	688	364
654	688	362
655	689	361
656	690	360
657	690	359
658	691	357
659	692	356
660	693	355
661	693	354
662	694	352
663	694	351
664	695	350
665	696	349
666	696	347
667	697	346
668	698	345
669	699	344
670	699	343
671	700	341
672	700	340
673	701	339
674	702	338
675	702	336
676	703	335
677	704	334
678	705	333
679	705	332
680	706	330
681	706	329
682	707	328
683	708	327
684	708	325
685	709	324
686	710	323
687	710	322
688	711	321
689	712	319
690	712	318
691	713	317
692	713	316
693	714	315
694	715	313
695	715	312
696	716	311
697	717	310
698	718	309
699	719	308
700	720	307
701	721	306
702	721	304
703	722	303
704	723	302
705	724	301
706	725	300
707	725	299
708	726	298
709	727	296
710	727	295
711	728	294
712	729	293
713	730	292
714	730	291
715	731	290
716	732	289
717	732	287
718	733	286
719	734	285
720	734	284
721	735	283
722	736	282
723	737	281
724	737	279
725	738	278
726	739	277
727	739	276
728	740	275
729	740	274
730	741	273
731	742	271
732	743	270
733	743	269
734	744	268
735	744	267
736	745	266
737	746	264
738	746	263
739	747	262
740	748	261
741	749	260
742	750	259
743	750	258
744	751	257
745	752	256
746	752	254
747	753	253
748	754	252
749	755	251
750	755	250
751	756	249
752	756	248
753	757	247
754	758	246
755	758	244
756	759	243
757	760	242
758	761	241
759	762	240
760	762	239
761	763	238
762	763	237
763	764	236
764	765	235
765	765	233
766	766	232
767	767	231
768	768	230
769	768	229
770	769	228
771	770	227
772	770	226
773	771	225
774	771	224
775	772	223
776	773	222
777	774	221
778	775	219
779	775	218
780	776	217
781	777	216
782	777	215
783	778	214
784	779	213
785	780	212
786	780	211
787	781	210
788	781	209
789	782	208
790	783	206
791	783	205
792	784	204
793	785	203
794	786	202
795	786	201
796	788	200
797	788	199
798	789	198
799	790	197
800	790	196
801	791	195
802	792	194
803	792	193
804	793	192
805	794	191
806	794	190
807	795	188
808	795	187
809	796	186
810	796	185
811	797	184
812	798	183
813	799	182
814	799	181
815	800	180
816	800	179
817	801	178
818	803	177
819	804	176
820	804	175
821	805	174
822	806	173
823	807	172
824	808	171
825	809	170
826	810	169
827	811	168
828	812	167
829	812	166
830	813	165
831	815	164
832	815	163
833	816	162
834	817	161
835	817	160
836	818	159
837	819	158
838	820	157
839	821	156
840	821	155
841	822	154
842	823	153
843	823	152
844	824	151
845	824	150
846	825	149
847	826	148
848	827	147
849	828	146
850	828	145
851	829	144
852	829	143
853	830	141
854	831	140
855	831	139
856	832	138
857	833	137
858	833	136
859	834	135
860	835	134
861	835	133
862	836	132
863	837	131
864	837	130
865	839	129
866	840	128
867	840	127
868	841	126
869	842	125
870	843	124
871	844	123
872	845	122
873	846	122
874	847	121
875	848	120
876	848	119
877	849	118
878	850	117
879	851	116
880	852	115
881	852	114
882	853	113
883	854	112
884	854	111
885	855	110
886	856	109
887	857	108
888	858	107
889	859	106
890	860	105
891	861	104
892	861	103
893	862	102
894	863	101
895	865	100
896	865	99
897	866	98
898	867	97
899	868	96
900	869	95
901	869	94
902	870	93
903	871	92
904	872	91
905	873	90
906	873	89
907	874	88
908	875	87
909	876	86
910	877	85
911	878	84
912	879	83
913	879	82
914	881	81
915	882	80
916	883	79
917	883	78
918	884	77
919	885	77
920	886	76
921	887	75
922	888	74
923	889	73
924	890	72
925	891	71
926	892	70
927	893	69
928	894	68
929	895	67
930	896	66
931	897	65
932	898	64
933	899	63
934	900	62
935	901	61
936	902	60
937	903	59
938	904	58
939	905	57
940	905	56
941	907	55
942	908	54
943	909	53
944	910	52
945	910	51
946	911	51
947	912	50
948	913	49
949	914	48
950	915	47
951	916	46
952	917	45
953	917	44
954	919	43
955	919	42
956	920	41
957	921	40
958	922	39
959	923	38
960	924	37
961	925	36
962	926	35
963	927	34
964	927	33
965	928	32
966	929	31
967	929	30
968	930	29
969	932	28
970	933	27
971	934	26
972	935	25
973	937	25
974	938	24
975	939	23
976	940	22
977	941	21
978	942	20
979	944	19
980	945	18
981	948	17
982	951	16
983	953	15
984	955	14
985	957	13
986	958	12
987	959	11
988	961	10
989	962	9
990	963	8
991	964	7
992	966	6
993	968	5
994	969	4
995	970	3
996	971	2
997	973	1
998	974	0
999	976	0
